STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,MDPR,DAPR,PRCP,SNWD,SNOW,TMAX,TMIN,TOBS
GHCND:USW00013882,CHATTANOOGA LOVELL FIELD AIRPORT TN US,204.5,35.0311,-85.2014,20150429,-9999,-9999,20,0,0,189,122,-9999
GHCND:USW00013882,CHATTANOOGA LOVELL FIELD AIRPORT TN US,204.5,35.0311,-85.2014,20150430,-9999,-9999,0,0,0,239,83,-9999
GHCND:USW00013882,CHATTANOOGA LOVELL FIELD AIRPORT TN US,204.5,35.0311,-85.2014,20150501,-9999,-9999,0,0,0,217,67,-9999
GHCND:USW00013882,CHATTANOOGA LOVELL FIELD AIRPORT TN US,204.5,35.0311,-85.2014,20150502,-9999,-9999,0,0,0,250,83,-9999
GHCND:USW00013882,CHATTANOOGA LOVELL FIELD AIRPORT TN US,204.5,35.0311,-85.2014,20150503,-9999,-9999,0,0,0,267,100,-9999
GHCND:USW00013882,CHATTANOOGA LOVELL FIELD AIRPORT TN US,204.5,35.0311,-85.2014,20150504,-9999,-9999,0,0,0,283,111,-9999
GHCND:USW00013882,CHATTANOOGA LOVELL FIELD AIRPORT TN US,204.5,35.0311,-85.2014,20150505,-9999,-9999,0,0,0,289,128,-9999
GHCND:USW00013882,CHATTANOOGA LOVELL FIELD AIRPORT TN US,204.5,35.0311,-85.2014,20150506,-9999,-9999,0,0,0,289,139,-9999
GHCND:USW00013882,CHATTANOOGA LOVELL FIELD AIRPORT TN US,204.5,35.0311,-85.2014,20150507,-9999,-9999,0,0,0,306,139,-9999
GHCND:USW00013882,CHATTANOOGA LOVELL FIELD AIRPORT TN US,204.5,35.0311,-85.2014,20150508,-9999,-9999,0,0,0,317,156,-9999
GHCND:USW00013882,CHATTANOOGA LOVELL FIELD AIRPORT TN US,204.5,35.0311,-85.2014,20150509,-9999,-9999,0,0,0,311,167,-9999
GHCND:USW00013882,CHATTANOOGA LOVELL FIELD AIRPORT TN US,204.5,35.0311,-85.2014,20150510,-9999,-9999,0,0,0,317,189,-9999
GHCND:USW00013882,CHATTANOOGA LOVELL FIELD AIRPORT TN US,204.5,35.0311,-85.2014,20150511,-9999,-9999,56,0,0,322,183,-9999
GHCND:USW00013882,CHATTANOOGA LOVELL FIELD AIRPORT TN US,204.5,35.0311,-85.2014,20150512,-9999,-9999,0,0,0,289,183,-9999
GHCND:USW00013882,CHATTANOOGA LOVELL FIELD AIRPORT TN US,204.5,35.0311,-85.2014,20150513,-9999,-9999,0,0,0,278,156,-9999
GHCND:USW00013882,CHATTANOOGA LOVELL FIELD AIRPORT TN US,204.5,35.0311,-85.2014,20150514,-9999,-9999,0,0,0,289,161,-9999
GHCND:USW00013882,CHATTANOOGA LOVELL FIELD AIRPORT TN US,204.5,35.0311,-85.2014,20150515,-9999,-9999,5,0,0,267,200,-9999
GHCND:USW00013882,CHATTANOOGA LOVELL FIELD AIRPORT TN US,204.5,35.0311,-85.2014,20150516,-9999,-9999,33,0,0,267,178,-9999
GHCND:USW00013882,CHATTANOOGA LOVELL FIELD AIRPORT TN US,204.5,35.0311,-85.2014,20150517,-9999,-9999,8,0,0,272,194,-9999
